post_id,title,score,num_comments,author,category
47633150,The Subprime AI Crisis Is Here,51,24,dmitrygr,technology
47615058,Old code never dies: why legacy software is often safer than new code,6,0,speckx,general
47588658,"Tell HN: Chrome says ""suspicious download"" when trying to download yt-dlp",309,98,joering2,general
47592392,Show HN: EU Leadership – Live API data site comparing Europe to the world,34,16,aureljohn,worldnews
47625723,What Hath Tim Berners-Lee Wrought?,17,1,MindGods,general
47614527,After 40 Years New Mario Glitch Discovered [video],5,0,surprisetalk,general
47639757,Hims and Hers warns of data breach after Zendesk support ticket breach,8,0,Brajeshwar,general
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",12,4,Edward9055,general
47641555,US deploying nearly all stealthy long-range JASSM-ER cruise missiles to Iran war,60,77,prmph,general
47633517,Lightweight IDE to Pair with Claude Code?,5,1,zupancik,technology
47613668,Show HN: Abject: the first self-aware object runtime,10,3,mempko,general
47632385,"Palm-sized superconducting magnet achieves 42 Tesla, rivaling the worlds biggest",10,0,u1hcw9nx,worldnews
47632273,"Wine 11.6 – Run Windows Applications on Linux, BSD, Solaris and macOS",8,0,neustradamus,general
47621557,Show HN: SkiFlee (an HTML5 game),8,9,BSTRhino,general
47620453,Iran Says It Hit Oracle Facilities in UAE,46,19,Betelbuddy,general
47621304,Brazil Joins Elite Club of Advanced Fighter Producers: First Home-Built Gripen E,7,0,teleforce,general
47615360,Japanese X is now America's favorite corner of the internet,55,9,mikhael,general
47634422,"Native Americans had dice 12,000 years ago",9,1,delichon,general
47618322,Mistral secures $830M in debt financing to fund AI data center,33,3,gmays,technology
47634234,Silicon Valley Is in a Frenzy over Bots That Build Themselves,11,1,geox,general
47617343,Trump fires Pam Bondi as attorney general,131,108,Cider9986,general
47591834,Do LLMs Break the Sapir-Whorf Hypothesis?,15,7,dot_treo,general
47634073,CBP Facility Codes Sure Seem to Have Leaked via Online Flashcards,12,1,couchand,general
47608080,Show HN: 65k AI voters predict UK local elections with 75% accuracy,9,9,JasonDuke,technology
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,93,17,AustinDev,general
47624558,Proton Meet isn't what they told you it was,163,164,bundie,general
47594840,"Kagi: April 1, 1996",31,10,surprisetalk,general
47625537,"Economists Once Dismissed the A.I. Job Threat, but Not Anymore",20,9,chrisaycock,general
47611572,Show HN: SideX – VS Code rebuilt on Tauri instead of Electron (96% smaller),12,2,KendallCBooker,general
47607159,"AbodeLLM – An offline AI assistant for Android devices, based on open models",7,0,shaicoleman,technology
47624164,AI models will deceive you to save their own kind,14,1,cmsefton,technology
47619319,Show HN: RiceVM – A Dis virtual machine and Limbo compiler in Rust,6,0,habedi0,general
47606349,"Dutch armed forces recruiting 1,200 drone specialists",44,1,johnbarron,general
47592113,"Jami – free/libre, end-to-end encrypted, and private communication software",44,4,smartmic,general
47633191,"Darkness can ""travel"" faster than light speed",11,6,Jimmc414,general
47617630,"Show HN: Mac-hardware toys, control your Mac's hardware like a modular synth",7,1,nikisweeting,general
47639585,The War Against Misinformation Is Over. The Lies Won,11,0,cainxinth,technology
47630749,Ask HN: Should we collectively stop spell checking and fixing grammar,5,16,sankalpnarula,general
47629306,Pharmaceuticals face 100% tariffs in US – unless firms strike a deal,37,31,geox,general
47642088,EU ready to cave to Trump on tech,10,1,only_in_america,technology
47628860,Meta Has a New Linux Optimization Avoid Throttling TCP Throughput Unnecessarily,8,0,Bender,general
47616622,EmDash: A Fresh Take on CMS,60,13,taubek,general
47616185,Show HN: AI-first PostgreSQL client for Mac,5,0,Guillim,technology
47594159,RFC Esolang – RFCs as executable programs,11,1,beefburger,general
47632183,"US economy beats expectations to add 178,000 jobs in March",9,11,alephnerd,general
47593620,1-Bit Bonsai: The First Commercially Viable 1-Bit LLMs,9,1,wmf,technology
47592939,JSSE: A JavaScript Engine Built by an Agent,27,16,tilt,general
47631515,A new Postcrossing stamp from the USA,8,1,Tomte,general
47606040,The Anti-Intellectualism of Silicon Valley Elites,100,27,speckx,general
47606909,Cindy Cohn of the EFF Interviewed by Jon Stewart on the Daily Show [video],36,1,latexr,technology
47613827,One ant for $220: The new frontier of wildlife trafficking,6,0,gmays,general
47622467,Tesla March car registrations soar in key European markets,40,6,havaloc,general
47590281,Claude Code leaked features and hidden commands,11,1,ishqdehlvi,general
47620867,Proton Workspace: An encrypted suite for team collaboration,26,4,teekert,general
47607408,Scientists Figured Out How Eels Reproduce (2022),8,0,thunderbong,general
47607354,"""Vibecession"" reflects an increasingly difficult economy and society",30,5,paulpauper,general
47630701,FEMA Official Claims Waffle House Teleportation Power,6,0,giardini,technology
47613181,Show HN: I run a full software company solo with Claude Code agents,6,0,martinovigiani,general
47608602,The beginning of programming as we'll know it?,62,68,zdw,general
47602040,Ask HN: What dev tools do you rely on that nobody talks about?,43,37,crcsmnky,general
47594637,Show HN: Asciimap – Interactive ASCII world map with live data,10,3,limsight,worldnews
